locationId,wing,shelf,bookName,authorName
553707268,Exterior (Next to Office),12.4,Figures of Ezra,"Jan N. Bremmer, Veronika Hirschberger, and Tobias Nicklas"
160619484,CHAP-108 Bookcases (closest to offices),7.3,Flavius Josephus: Selections from His Works,N/A
713339117,CHAP-108 Bookcases (closest to chapel),1.3,Framing Paul: An Epistolary Biography,Douglas A. Campbell
139189334,Exterior (Next to Office),12.4,From Rome to Early Christian Thessalonikē,N/A
646000030,Office # 108-A Bookcases,9.3,From the Maccabees to the Mishnah,Shaye J.D. Cohen
917276956,CHAP-108 Bookcases (closest to offices),8.3,Fundamentalism: The Search for Meaning,Malise Ruthven
335208976,CHAP-108 Bookcases (closest to chapel),1.4,"Galilee in the Late Second Temple and Mishnaic Periods: Life, Culture, and Society - Volume 1",David A. Fiensy and James Riley Strange
686589653,Office # 108-A Bookcases,9.3,Gods and the One God,Robert M. Grant
440773002,CHAP-108 Bookcases (closest to chapel),1.3,"Golden Mouth: The Story of John Chrysostom--Ascetic, Preacher, Bishop",J. N. D. Kelly
509166725,CHAP-108 Bookcases (closest to chapel),1.3,Gregory of Nazianzus,"Brian E. Daley, S.J."
569338422,CHAP-108 Bookcases (closest to chapel),1.3,Gregory of Nyssa,Anthony Meridith S.J.
140876119,CHAP-108 Bookcases (closest to chapel),1.3,Gregory the Great,John Moorhead
425700185,CHAP-108 Bookcases (closest to offices),7.3,Guardian of American Orthodoxy: Charles Hodge,Paul C. Gutjahr
689837039,CHAP-108 Bookcases (closest to offices),7.3,Her Story: Women in Christian Tradition,Barbara J. MacHaffie
567932043,CHAP-108 Bookcases (closest to offices),8.3,Historical Commentary on the Augsburg Confession,Wilhelm Maurer
809172002,Office # 108-A Bookcases,9.3,History of Global Christianity: Volume 1 - European and Global Christianity ca. 1500-1789,Jens Holger Schjorring and Norman A. Hjelm
153462054,Office # 108-A Bookcases,9.3,History of Global Christianity: Volume 2 - History of Christianity in the 19th century,Jens Holger Schjorring and Norman A. Hjelm
642229227,CHAP-108 Bookcases (closest to offices),"2.1,7.3",Holy Bible: New Revised Standard Version,N/A
420524856,Office # 108-A Bookcases,10.2,Houseboy,Ferdinand Oyono
469313049,Office # 108-A Bookcases,10.2,Icons in the Western Church: Toward a More Sacramental Encounter,Jeana Visel
696452753,Office # 108-A Bookcases,10.2,In Search of the Phoenicians,Josephine Quinn
722362900,CHAP-108 Bookcases (closest to offices),8.3,In the Beginning,Alister McGrath
354292824,CHAP-108 Bookcases (closest to offices),"8.2,10.3",In the Footsteps of Jesus: A Chronicle of His Life and the Origins of Christianity,Jean-Pierre Isbouts
423530057,Office # 108-A Bookcases,10.2,Into the World of the New Testament: Greco-Roman and Jewish Texts and Contexts,Daniel Lynwood Smith
367326992,CHAP-108 Bookcases (closest to chapel),2.1,Introduction to the Old Testament,Roland Kenneth Harrison
574902680,CHAP-108 Bookcases (closest to offices),7.2,Introduction to the Old Testament,James King West
999573157,CHAP-108 Bookcases (closest to offices),7.3,Jesus & the Forgotten City: New Light on Sepphoris and the Urban World of Jesus,Richard A. Batey
348495741,Exterior (Next to Office),12.4,Jesus of Arabia: Christ through Middle Eastern Eyes,Andrew Thompson
754501676,CHAP-108 Bookcases (closest to offices),7.3,Jesus Under Fire: Modern Scholarship Reinvents the Historical Jesus,Michael J. Wilkins and J.P. Moreland
859064260,CHAP-108 Bookcases (closest to offices),7.3,Late Antiquity: A Guide to the Postclassical World,G.W. Bowersock and Peter Brown and Oleg Grabar
230432691,CHAP-108 Bookcases (closest to offices),7.4,Late Medieval Mysticism,Ray C. Petry
410564708,Office # 108-A Bookcases,9.3,Letter Writing in Greco-Roman Antiquity,Stanley K. Stowers
658015543,Office # 108-A Bookcases,10.3,Lindisfarne Gospels (Part 1 and 2),N/A
895759609,Exterior (Next to Office),12.4,"Liturgical Subjects: Christian Ritual, Biblical Narrative, and the Formation of the Self in Byzantium",Derek Krueger
106780854,CHAP-108 Bookcases (closest to offices),7.4,Luther: Lectures on Romans,Wilhelm Pauck
667478277,CHAP-108 Bookcases (closest to offices),7.4,Melanchthon and Bucer,Wilhelm Pauch
658499045,Office # 108-A Bookcases,9.3,Miracles and the Kingdom of God,Myrick C. Shinall Jr.
725976227,Office # 108-A Bookcases,9.3,"Moral Exhortation, A Greco-Roman Sourcebook",Abraham J. Malherbe
871843378,CHAP-108 Bookcases (closest to chapel),1.3,New Testament Apocrypha - Volume Two: Writings Relating to the Apostles: Apocalypses and Related Subjects,Wilhdelm Schneemelcher
648276851,CHAP-108 Bookcases (closest to offices),7.2,Old Testament Pseudepigrapha and the Scriptures,Eibert Tigchelaar
470443439,CHAP-108 Bookcases (closest to chapel),1.4,Origen,Jonathon W. Trigg
279666903,Office # 108-A Bookcases,10.2,Pascal's Pensees,T.S. Eliot
668397273,CHAP-108 Bookcases (closest to chapel),1.4,Paul and His Recent Interpreters,N. T. Wright
138424209,CHAP-108 Bookcases (closest to offices),7.4,Paul in the Greco-Roman World - Volumes 1-4,J. Paul Sampley
545464568,CHAP-108 Bookcases (closest to chapel),1.4,Photian Studies,George Papademetriou
144439357,CHAP-108 Bookcases (closest to chapel),"2.1,10.2",Protestant Christianity Interpreted Through its Development,John Dillenburger and Clause Welch
502500805,Exterior (Next to Office),12.4,Reading Proverbs Intertextually,"Katharine Dell, Will Kynes"
